
--------------NEW TEST-----------------

Q:PushPop
5882347.716266, 12349871.870079, 9073767.918423, 13768092.995207, 4911369.427315, 

5936331.655726, 11628556.012429, 8161686.269677, 6147637.985271, 5051497.491174, 

6061010.127948, 11430975.199356, 21301931.446124, 6407381.303261, 5094150.081812, 


Q:RandSingleOps
12061242.163208, 12178754.892815, 55722102.729269, 30569260.774136, 13199821.538413, 
9714141.944985, 10625342.932977, 7896898.098427, 6814635.110363, 3062572.334130, 
10138214.275214, 10787613.984632, 17103723.822751, 12480374.610924, 4443039.456634, 
10435276.242633, 11148629.066985, 21484827.146509, 22733472.765300, 4549061.744643, 
10143035.394629, 10820303.253431, 23086468.443683, 18857890.707209, 4509572.356502, 
9087244.246610, 9901557.354091, 23096495.135734, 21447364.681874, 4477543.440567, 
8653189.842678, 9267855.961205, 20707440.721845, 21211890.452464, 4531133.691462, 

12056818.976472, 12353515.687733, 2380776.656961, 2162454.853349, 1977170.013291, 
9334253.068402, 10466173.849427, 3629430.763708, 3393767.278518, 1969735.021396, 
10180292.479818, 10776791.102681, 6257074.404749, 6279801.583389, 3285696.214385, 
10664775.179868, 11130459.559980, 10738390.524659, 9727020.885859, 3841251.448992, 
10004915.581856, 10778357.094521, 13677944.587911, 12847068.919814, 4090394.166062, 
9063109.947307, 9932657.697394, 15796758.899993, 15218864.391167, 4165026.201660, 
8551749.931778, 9264718.395173, 14549932.750211, 16794100.299741, 4297888.546209, 

11248518.007752, 12282142.988737, 1214357.691001, 1162886.973898, 1059844.995550, 
9676064.705780, 10500594.858699, 2085896.378508, 2033985.869900, 1381279.487733, 
10255121.279634, 10828493.447949, 5016295.435723, 4334905.242223, 2073420.439799, 
10204164.676855, 11023613.959644, 5323769.004857, 8464967.098789, 3259448.693589, 
9925870.126604, 10846816.197262, 10916555.848463, 9424602.862943, 3651463.433515, 
8982164.564709, 9923343.288514, 11063770.466592, 10189802.911380, 3763463.673684, 
8555882.447308, 9210788.246371, 11594751.380703, 13231787.304841, 3950549.861233, 

