
--------------NEW TEST-----------------

Q:PushPop
5948447.629120, 11438205.665801, 8964011.287483, 6607655.894426, 4971933.435755, 

6078579.630313, 11518546.589646, 18194451.418986, 6115837.634296, 4959645.841610, 

6196489.440872, 11476233.867284, 14997963.275976, 5834778.899806, 5062483.705131, 


Q:RandSingleOps
11864310.256459, 12331003.595721, 55732661.568986, 30578976.337983, 13281550.329117, 
9394505.341716, 10556752.574000, 7480942.299492, 6650961.529508, 3311850.463328, 
9858826.533454, 10758500.695268, 16469784.122305, 13868134.146468, 3905818.224001, 
10440459.495063, 11079721.367160, 24844689.633926, 20780937.230660, 4310196.092376, 
10196123.977392, 10745243.349321, 19988766.313332, 22283559.783820, 4773869.746555, 
9153077.092937, 9895214.501041, 18234391.247128, 20662512.468535, 4472497.189175, 
8470091.344854, 9234584.016154, 18388153.321893, 18546114.449927, 4367872.914466, 

12070557.249457, 12127530.712978, 2177140.891496, 2018667.017646, 1731000.452484, 
9382324.076732, 10533555.170027, 4233076.583128, 3213689.804376, 2200193.397000, 
9804627.588361, 10820917.592216, 6315393.930591, 6405398.982695, 3487448.324734, 
10370606.330478, 11006648.566233, 7780619.216690, 9003004.977987, 4196398.147542, 
10175470.738483, 10784050.640465, 10393017.139644, 12611533.247155, 3923704.096994, 
9079854.254718, 10037479.824665, 13397680.158186, 13863967.444632, 4446587.452564, 
8704479.943442, 9345964.622720, 12473314.901932, 14003219.340126, 4345488.403130, 

11974209.941470, 11507559.315714, 1052988.264867, 1086047.547162, 909621.797449, 
9472657.175064, 10295904.289274, 1776527.102697, 1841870.618535, 1408626.683362, 
10068201.496940, 10823131.088688, 4286365.200887, 3765335.978105, 2532054.865071, 
10291631.128377, 11118130.697521, 5581144.327137, 5520220.775710, 3173464.505315, 
10007900.737632, 10721321.402885, 8029715.299753, 9340502.895789, 3437939.322090, 
9018661.301465, 9660758.710110, 9768380.704078, 11493192.725614, 3739226.528840, 
8355044.529464, 9243000.137351, 10324213.336241, 12995941.367511, 3930099.100200, 

