
--------------NEW TEST-----------------

HM125K:F34,I33,E33
2701985.500000,2649353.250000,2656034.750000,2664521.500000,2658042.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2598327.250000,2663447.750000,2692755.500000,2667290.500000,2696856.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3055053.500000,3067006.750000,3058514.500000,3025351.500000,3058942.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6128975.500000,6093566.500000,6106061.000000,6104070.500000,6098252.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
4076691.500000,3940115.500000,3938399.000000,3904412.500000,3898895.000000,:0.000090,0.000065,0.000080,0.000050,0.000085,;3915165.500000,3989918.250000,3987406.500000,4009763.750000,4019839.500000,:0.000049,0.000059,0.000049,0.000034,0.000025,;4633373.000000,4643115.500000,4634145.000000,4689438.500000,4657992.500000,:0.000034,0.000020,0.000020,0.000005,0.000025,;8369440.500000,8360879.000000,8367703.500000,8370340.500000,8350389.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
7612814.500000,7476670.500000,7423139.500000,7407882.500000,7404465.500000,:0.000232,0.000222,0.000290,0.000312,0.000277,;7405484.000000,7460501.500000,7471442.000000,7552178.500000,7542873.500000,:0.000154,0.000149,0.000124,0.000136,0.000139,;8695129.000000,8746040.000000,8764920.000000,8792148.000000,8811708.000000,:0.000124,0.000092,0.000099,0.000079,0.000089,;16175210.000000,16260751.000000,16178344.000000,15869949.000000,16297727.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
14554641.000000,14464555.000000,14239905.000000,14224779.000000,14263593.000000,:0.000681,0.000641,0.000646,0.000641,0.000666,;14105281.000000,13967085.000000,14085478.000000,14065653.000000,14047462.000000,:0.000311,0.000304,0.000341,0.000315,0.000337,;16087322.000000,16135988.000000,16157403.000000,16223235.000000,16175714.000000,:0.000249,0.000258,0.000294,0.000255,0.000269,;29818836.000000,29927430.000000,30053562.000000,29944278.000000,30522422.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
19037706.000000,18855430.000000,18480216.000000,18693324.000000,18574746.000000,:0.001082,0.001052,0.000982,0.001007,0.000972,;17074208.000000,17208762.000000,17328406.000000,17338808.000000,17198172.000000,:0.000564,0.000487,0.000520,0.000509,0.000486,;19762890.000000,20300786.000000,19716946.000000,19774628.000000,19574442.000000,:0.000436,0.000450,0.000478,0.000429,0.000439,;39988112.000000,38947572.000000,39255340.000000,37614608.000000,39776656.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
23885802.000000,23916200.000000,23565014.000000,23538714.000000,23507136.000000,:0.002988,0.001341,0.001324,0.001307,0.001287,;20908172.000000,21461662.000000,21490482.000000,21128834.000000,21723080.000000,:0.000666,0.000687,0.000649,0.000668,0.000691,;24982530.000000,23247274.000000,24732410.000000,24908780.000000,24664858.000000,:0.000671,0.000666,0.000652,0.000649,0.000644,;49300048.000000,48814480.000000,48692188.000000,48296884.000000,48483704.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
27617028.000000,28477422.000000,28048660.000000,28379324.000000,28475742.000000,:0.007209,0.001724,0.001753,0.001722,0.001742,;24841086.000000,25321136.000000,25528918.000000,25564540.000000,25360986.000000,:0.000909,0.000913,0.000928,0.000902,0.000880,;29438724.000000,29557590.000000,29581224.000000,29351034.000000,29097142.000000,:0.000952,0.000863,0.000919,0.000906,0.000876,;58750660.000000,58950532.000000,58744776.000000,58792248.000000,58702396.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


HM125K:F90,I5,E5
