
--------------NEW TEST-----------------

HM125K:F34,I33,E33
2090490.625000,4114875.750000,6159231.000000,8248239.000000,10317724.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;15463599.000000,18100456.000000,20620672.000000,23269728.000000,25931028.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;29082080.000000,36657920.000000,39496272.000000,42877524.000000,45670024.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;72663464.000000,76824072.000000,80846768.000000,85433496.000000,90379872.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
26580744.000000,28655598.000000,31070374.000000,33453418.000000,35705960.000000,:0.000210,0.000210,0.000150,0.000190,0.000170,;62603724.000000,67866960.000000,70979072.000000,75076448.000000,78978808.000000,:0.000000,0.000010,0.000060,0.000050,0.000050,;101635944.000000,106345944.000000,110296664.000000,115339800.000000,120097888.000000,:0.000000,0.000020,0.000030,0.000010,0.000040,;202247040.000000,211548912.000000,219728032.000000,227347104.000000,234113152.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
54961944.000000,59137296.000000,63853744.000000,68775944.000000,73877984.000000,:0.000697,0.000790,0.000663,0.000720,0.000723,;154117424.000000,163956576.000000,172926160.000000,183398880.000000,194357424.000000,:0.000150,0.000160,0.000160,0.000167,0.000163,;268115616.000000,281895168.000000,292440800.000000,305741696.000000,314852704.000000,:0.000080,0.000117,0.000053,0.000087,0.000117,;610139072.000000,626271360.000000,655299200.000000,680708928.000000,702083200.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
137051968.000000,134972048.000000,144474944.000000,150096800.000000,157896784.000000,:0.001378,0.001380,0.001415,0.001343,0.001440,;285924128.000000,300112320.000000,311812064.000000,329251456.000000,340498752.000000,:0.000288,0.000272,0.000280,0.000305,0.000307,;510700064.000000,530182976.000000,549180032.000000,573810176.000000,595572352.000000,:0.000210,0.000172,0.000207,0.000237,0.000242,;1176249344.000000,1220849408.000000,1255651456.000000,1293714560.000000,1331460864.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
278210784.000000,286808160.000000,293774016.000000,303712992.000000,312653856.000000,:0.002014,0.002076,0.002029,0.002060,0.002083,;489018624.000000,511915872.000000,529709632.000000,542314304.000000,560853056.000000,:0.000477,0.000499,0.000429,0.000410,0.000474,;911893376.000000,949871424.000000,969087616.000000,1000075200.000000,1023188800.000000,:0.000278,0.000318,0.000324,0.000299,0.000314,;2149881856.000000,2188962048.000000,2237978368.000000,2303145216.000000,2344742400.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


HM125K:F90,I5,E5
4376332800.000000,4452467712.000000,4470077440.000000,4493595136.000000,4485074944.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3077537024.000000,3244955392.000000,3236696576.000000,3233713920.000000,3246730752.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2907350784.000000,3404610304.000000,3396437504.000000,3349516800.000000,3164304128.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3992887808.000000,3993825024.000000,3999236864.000000,4002499328.000000,4010855936.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
3056180736.000000,3223756544.000000,3221336832.000000,3253807104.000000,3249628160.000000,:0.000060,0.000020,0.000030,0.000040,0.000070,;2707165696.000000,2756504576.000000,2759886592.000000,2764509696.000000,2785152512.000000,:0.000060,0.000020,0.000020,0.000010,0.000030,;3049583104.000000,3059345664.000000,3105869824.000000,3096132096.000000,3115668736.000000,:0.000030,0.000030,0.000020,0.000010,0.000000,;3705036288.000000,3729097472.000000,3720734720.000000,3730210304.000000,3728560640.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
