
--------------NEW TEST-----------------

HM125K:F34,I33,E33
4479644.500000,4441503.000000,4442825.500000,4417449.000000,4402358.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3146247.000000,3165097.750000,3155012.000000,3165248.000000,3133961.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3281701.250000,3236088.750000,3234351.500000,3247259.250000,3266692.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5443006.500000,5380451.500000,5767445.000000,5775939.500000,5790321.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
5435393.500000,5310821.000000,5330581.000000,5277323.500000,5279817.000000,:0.000100,0.000100,0.000100,0.000000,0.000000,;4983914.500000,5037047.500000,5058604.000000,5059448.500000,5057619.000000,:0.000150,0.000000,0.000050,0.000000,0.000150,;5471103.000000,5510947.500000,5429309.000000,5460288.500000,5467663.000000,:0.000050,0.000000,0.000100,0.000100,0.000050,;8459736.000000,8488388.000000,8490009.000000,8491920.000000,8495924.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
7500762.500000,7504212.500000,7518363.500000,7537943.000000,7563631.500000,:0.000350,0.000575,0.000625,0.000425,0.000475,;8871678.000000,8780383.000000,8878609.000000,8808089.000000,8828073.000000,:0.000150,0.000125,0.000200,0.000225,0.000075,;10433404.000000,10237746.000000,10060413.000000,10212888.000000,10235650.000000,:0.000225,0.000125,0.000125,0.000050,0.000075,;16687039.000000,16678272.000000,16538151.000000,16545540.000000,16540545.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
10594621.000000,10716796.000000,10749287.000000,10630988.000000,10643192.000000,:0.001187,0.001112,0.001150,0.001050,0.001300,;14947460.000000,14723990.000000,15011664.000000,14918166.000000,14907440.000000,:0.000362,0.000412,0.000337,0.000325,0.000525,;18885214.000000,18140962.000000,18623670.000000,18621418.000000,18148206.000000,:0.000212,0.000237,0.000275,0.000325,0.000287,;34773084.000000,34796832.000000,32356700.000000,32353560.000000,32366780.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
12480898.000000,11186122.000000,11682521.000000,9528973.000000,11259915.000000,:0.001633,0.001617,0.001525,0.001942,0.001875,;16302358.000000,16275430.000000,16143913.000000,16751812.000000,14703154.000000,:0.000558,0.000508,0.000550,0.000633,0.000750,;21055750.000000,21248998.000000,20663972.000000,21069968.000000,21028106.000000,:0.000458,0.000500,0.000392,0.000567,0.000350,;42601988.000000,42943952.000000,39565440.000000,39692252.000000,39559048.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
14459343.000000,14562469.000000,14259352.000000,14345278.000000,14607140.000000,:0.002200,0.002075,0.002031,0.002319,0.001969,;19991572.000000,20376494.000000,20168390.000000,20412544.000000,20450922.000000,:0.000956,0.000656,0.000694,0.000644,0.000737,;26984026.000000,27263810.000000,27278092.000000,26409202.000000,27113748.000000,:0.000737,0.000525,0.000487,0.000581,0.000525,;55262360.000000,54566536.000000,50466500.000000,50636116.000000,50749024.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
16694953.000000,16762070.000000,16770306.000000,15962429.000000,16523004.000000,:0.002565,0.002730,0.002550,0.002670,0.002725,;23110526.000000,22811588.000000,23009604.000000,23349462.000000,23115734.000000,:0.000830,0.000835,0.001030,0.000965,0.000840,;31371278.000000,31484020.000000,31398006.000000,30854472.000000,31164536.000000,:0.000790,0.000725,0.000795,0.000745,0.000695,;65657296.000000,65761136.000000,59793056.000000,59841896.000000,59712724.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


HM125K:F90,I5,E5
