
--------------NEW TEST-----------------

HM125K:F34,I33,E33
33065524.000000,34344624.000000,34568144.000000,34725908.000000,34411268.000000,:0.000358,0.000392,0.000458,0.000492,0.000583,;30974466.000000,33162826.000000,32294972.000000,32174534.000000,32554398.000000,:0.000325,0.000283,0.000333,0.000350,0.000317,;36036488.000000,37059920.000000,36084164.000000,35895164.000000,36378192.000000,:0.000292,0.000217,0.000308,0.000242,0.000200,;56142188.000000,55940144.000000,55923720.000000,55945360.000000,55927108.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
39030440.000000,38675792.000000,41296232.000000,41456184.000000,41180060.000000,:0.000631,0.000850,0.000637,0.000631,0.000625,;40139512.000000,40983832.000000,41130104.000000,41808568.000000,41197028.000000,:0.000412,0.000362,0.000494,0.000400,0.000419,;47318976.000000,46076464.000000,46108772.000000,46464540.000000,47705972.000000,:0.000437,0.000387,0.000431,0.000437,0.000337,;75276760.000000,74387808.000000,73997680.000000,74038768.000000,73953560.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
34073696.000000,36274116.000000,40421264.000000,41934176.000000,45735412.000000,:0.000680,0.000845,0.000590,0.000640,0.000715,;43594404.000000,43831608.000000,43729284.000000,44201980.000000,45398472.000000,:0.000625,0.000570,0.000585,0.000580,0.000570,;55978580.000000,55568748.000000,56089580.000000,55731352.000000,55818160.000000,:0.000570,0.000575,0.000630,0.000555,0.000580,;91640552.000000,91182640.000000,91266272.000000,91261280.000000,91334624.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


HM1M:F34,I33,E33
4134298.500000,4110321.000000,4105579.000000,4069490.500000,4079784.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2445496.000000,2555100.750000,2449377.500000,2419438.750000,2447998.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2320390.250000,2304556.250000,2306017.750000,2308184.250000,2301183.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3307108.000000,3265146.250000,3270613.750000,3263760.750000,3272090.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6862711.500000,6856053.500000,6890944.000000,6867805.000000,6877109.500000,:0.000000,0.000000,0.000000,0.000050,0.000050,;4753405.000000,4736485.500000,4752185.500000,4769672.500000,4775389.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4745431.500000,4725328.500000,4721469.000000,4706092.500000,4705882.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6735186.000000,6680651.500000,6689097.500000,6687912.000000,6689813.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
11893977.000000,11714474.000000,11922083.000000,11938306.000000,11535237.000000,:0.000100,0.000025,0.000050,0.000025,0.000125,;8924988.000000,9305187.000000,9275040.000000,9275126.000000,9304468.000000,:0.000050,0.000075,0.000000,0.000000,0.000075,;9747016.000000,9064519.000000,7623287.500000,7637333.500000,9622602.000000,:0.000025,0.000025,0.000050,0.000000,0.000025,;14212570.000000,14336506.000000,14322390.000000,14327469.000000,14275670.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
10822559.000000,18758196.000000,18581036.000000,18688810.000000,17978726.000000,:0.000337,0.000175,0.000112,0.000087,0.000150,;16560507.000000,16950732.000000,16981642.000000,16951632.000000,16997624.000000,:0.000062,0.000025,0.000037,0.000062,0.000037,;18564460.000000,16602404.000000,15017129.000000,14866742.000000,10266863.000000,:0.000050,0.000062,0.000037,0.000100,0.000050,;26321938.000000,26801928.000000,26789362.000000,26806598.000000,27502844.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
20233742.000000,7269492.000000,20337028.000000,9606715.000000,20232154.000000,:0.000217,0.000467,0.000217,0.000392,0.000283,;19396980.000000,19388242.000000,19281136.000000,19117660.000000,19399806.000000,:0.000108,0.000092,0.000058,0.000108,0.000075,;21325602.000000,20952690.000000,20936638.000000,8878052.000000,20685524.000000,:0.000067,0.000058,0.000050,0.000258,0.000092,;37194424.000000,37232624.000000,36454664.000000,36428544.000000,36424564.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
