
--------------NEW TEST-----------------

Q:PushPop
6819170.000000,6852283.500000,6765236.000000,6844759.500000,6809812.500000,:6.532397,6.724322,6.631503,6.625841,6.473053,;7598033.500000,7734829.500000,7692855.000000,7527196.500000,7718243.000000,:2.324212,2.323370,2.358359,2.310427,2.306383,;13217751.000000,13468527.000000,12462017.000000,12090315.000000,12044964.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4242576.500000,4226325.500000,4271817.000000,4664463.500000,4719467.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4603675.500000,4532259.500000,4690189.500000,4544716.000000,4609771.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2870378.000000,2900397.500000,4378359.000000,4397619.500000,4373262.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3482059.750000,3467704.000000,3444580.750000,3496399.500000,3499106.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4570391.000000,4651755.500000,4418707.500000,4614973.000000,4619259.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1813518.000000,1864120.000000,1860522.000000,1871680.125000,1863665.375000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2285178.000000,1940613.375000,2310579.750000,1948578.375000,2150880.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6320441.000000,6310507.000000,6220808.500000,6329054.000000,6302803.000000,:6.260027,6.203631,6.275749,6.360075,6.231313,;6858343.000000,6875377.500000,6914992.500000,6873271.500000,6868760.000000,:2.451531,2.423880,2.446794,2.431265,2.454105,;13337501.000000,12294348.000000,13159377.000000,12745744.000000,12541760.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4420015.500000,4414136.000000,4383458.500000,4385396.500000,4397722.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4538272.000000,4555055.000000,4521774.500000,4698016.000000,4688922.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4181936.250000,4177028.750000,4272394.000000,4255268.000000,4221875.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4458921.000000,4277140.500000,4508054.000000,4684902.500000,4465042.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5443467.500000,5483247.000000,5406000.500000,5407749.500000,5392870.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1715709.375000,1751354.375000,1716800.875000,1714343.875000,1714669.375000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2055013.250000,2189017.500000,2270870.000000,1985036.750000,2374389.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6004273.000000,5982314.000000,5975420.000000,5984458.500000,5954341.000000,:5.882995,5.912433,5.885646,5.911760,5.902380,;6531126.000000,6558323.000000,6558559.500000,6572837.000000,6542768.500000,:2.719465,2.728861,2.727448,2.723896,2.723891,;13292896.000000,13020062.000000,12779004.000000,13149019.000000,12902502.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4537969.000000,4468695.500000,4513809.500000,4491149.500000,4542097.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4348053.000000,4281365.500000,4211819.000000,4184201.000000,4224369.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2594711.250000,2714905.500000,3999756.000000,4106997.250000,4061781.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3372326.500000,3490990.000000,3333637.750000,3240157.750000,3458864.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4369896.000000,4414504.500000,4348895.000000,4266144.000000,4376619.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1618768.625000,1694134.500000,1693743.125000,1692249.875000,1649080.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2471189.250000,2074411.000000,1833655.500000,2352797.000000,2315261.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;

8460237.000000,8483275.000000,8466397.000000,8474648.000000,8476660.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8549639.000000,7779437.500000,6074803.000000,6005262.000000,6062680.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;14541013.000000,14544185.000000,14546089.000000,14544608.000000,14530660.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;7025580.000000,7253893.500000,7179730.000000,6936159.500000,7125552.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8822777.000000,8300408.500000,8606741.000000,8358269.000000,8699553.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8333611.000000,8666262.000000,8308184.000000,8649621.000000,8311239.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8214429.500000,8000704.000000,8195176.500000,7969778.500000,8283974.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;14204545.000000,14065093.000000,13985427.000000,13959462.000000,13907432.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6440145.500000,6591045.500000,6581502.000000,6579077.000000,6567146.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;15053893.000000,14632255.000000,14421898.000000,14238929.000000,14227180.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
5438033.500000,5472510.000000,5467707.500000,5465392.000000,5482907.000000,:7.739796,7.515673,7.556222,7.567046,7.390502,;7655766.000000,7625845.500000,7595292.500000,7636473.500000,7632015.000000,:3.248233,3.295772,3.246450,3.256969,3.251398,;4987083.500000,4921998.500000,4922846.500000,4895469.500000,4900615.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4764570.500000,4941908.000000,4509735.500000,4411369.000000,4423037.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4867743.500000,3767968.500000,4683237.500000,3866430.250000,4637907.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4051732.500000,3783650.750000,4057231.250000,3739736.750000,3926280.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5029789.000000,4722070.500000,4936102.000000,4963050.000000,4875611.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4059388.750000,4045569.250000,4039229.000000,4040828.500000,4187297.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3538157.250000,3454315.000000,3366510.250000,3329177.500000,3212252.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4889270.500000,4844010.500000,4858201.500000,4911615.500000,4963198.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6097208.000000,6169497.500000,6172792.000000,6028899.500000,5955181.500000,:9.265980,9.078228,8.974271,9.000232,9.233298,;7256670.000000,7660927.500000,7899471.500000,7895012.000000,7905107.000000,:2.692337,2.764777,2.774484,2.777389,2.794216,;7531198.000000,7683102.500000,7320322.500000,7454036.500000,7484259.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5178543.000000,5226551.500000,5143980.000000,5210511.000000,5192937.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5596339.000000,5624574.000000,5569859.500000,5592950.500000,5592903.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4834357.000000,4788773.000000,4812128.500000,4794547.500000,4761270.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5489754.500000,5456006.000000,5378361.000000,5445733.500000,5413438.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5066125.500000,5040405.000000,4978815.000000,4958964.500000,5039802.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2311731.250000,2277751.250000,2226193.500000,2257242.000000,2259245.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4692038.000000,4678406.500000,4538569.500000,4549585.500000,4427296.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6977454.000000,6939800.000000,6938933.000000,7014000.000000,7029518.500000,:6.915393,6.859842,6.525005,6.729898,6.767548,;8058269.500000,8060469.500000,7916301.000000,8071741.500000,8061737.000000,:2.196580,2.198493,2.210927,2.142204,2.157145,;13378844.000000,12813449.000000,13121422.000000,13149179.000000,12195531.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4800339.000000,5229547.500000,4835116.500000,5260500.000000,5206899.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5033767.000000,4996705.500000,5003424.000000,5005700.000000,5021164.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4681338.500000,4418222.500000,4414972.000000,4415074.000000,4414465.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4891665.000000,4893604.000000,4888329.000000,4846111.500000,4921738.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4778575.500000,4616557.500000,4783931.000000,4791879.500000,4788534.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1837285.375000,1834267.500000,1835956.375000,1833662.125000,1843429.625000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2374304.250000,2352604.250000,2644135.000000,2348528.000000,2645958.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6724976.000000,6755159.500000,6838666.500000,6822081.500000,6803782.000000,:6.586342,6.398600,6.359809,6.553012,6.400221,;7715330.000000,7762197.500000,7690759.500000,7738740.000000,7725895.500000,:2.313467,2.300721,2.320470,2.314619,2.321629,;12225101.000000,12603174.000000,12292576.000000,12780015.000000,12684989.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4531116.500000,4533170.500000,4589150.500000,4560410.500000,4579015.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4540262.500000,4508729.000000,4505874.500000,4502157.000000,4495023.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4276649.500000,4253513.500000,4258871.000000,4284065.000000,4368295.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4519311.000000,4478895.500000,4547704.500000,4540573.500000,4506670.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4424813.000000,4476504.500000,4424235.500000,4526708.000000,4367764.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1806732.375000,1812102.000000,1801443.375000,1805763.625000,1809117.375000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1968710.000000,1835260.875000,2135250.250000,1931173.000000,1958531.625000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6234185.500000,6361634.500000,6278661.000000,6336144.500000,6326854.000000,:5.761838,5.672874,5.720168,5.661439,5.683926,;6805973.500000,6897256.500000,6936568.500000,6930880.500000,6951402.000000,:2.657793,2.672675,2.634681,2.643890,2.654985,;13462880.000000,13294790.000000,13445435.000000,13415053.000000,13316344.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4552447.500000,4494138.000000,4510443.500000,4533811.000000,4536663.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4213136.000000,4265353.000000,4193878.750000,4335731.000000,4367109.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2652659.250000,2543705.750000,2503649.000000,2674277.250000,2654875.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4346952.000000,4304237.500000,3175635.250000,3329277.750000,3412627.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4191365.250000,4205841.000000,4171431.250000,4274118.000000,4213164.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1705835.625000,1696916.000000,1700515.625000,1699306.750000,1701853.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1846756.375000,2199598.500000,1801438.875000,2241811.500000,2095975.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6030641.000000,6024183.500000,6045635.000000,6039836.500000,6029728.500000,:6.105984,6.264865,6.083043,6.080257,6.130062,;6562194.500000,6527956.500000,6539367.000000,6563792.500000,6537971.000000,:2.528342,2.554771,2.556038,2.548327,2.546952,;14411247.000000,13287518.000000,13474283.000000,12824483.000000,13261949.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4316992.500000,4299605.000000,4242075.500000,4298991.500000,4270189.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4289105.500000,4232652.000000,4202263.500000,4318968.000000,4220066.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2555580.000000,2486982.000000,2557195.250000,2574596.000000,2591324.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4159129.000000,4019481.500000,3944055.250000,3979618.000000,4187297.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4005637.500000,4092126.000000,4037917.750000,3986009.000000,4030736.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1661680.250000,1658390.750000,1650547.375000,1649451.375000,1654817.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2036058.625000,1852900.625000,2325684.250000,2298549.500000,1910814.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;

