
--------------NEW TEST-----------------

Q:PushPop
6298206.642364, 11527696.443475, 5787777.256235, 5976068.237138, 6185274.963306, 5905980.336629, 13207788.897268, 4938954.522107, 7679990.169613, 7309818.621471, 

6281221.597101, 11357518.791015, 5818391.703439, 6294248.567429, 6463522.464619, 6101210.541183, 18011949.127051, 4875815.419181, 4757713.442919, 16869037.216474, 

6399361.087789, 11575614.809842, 6135142.464143, 6252872.413265, 6059809.103894, 6188555.380763, 6165615.840207, 4971770.288303, 7845401.653183, 21331146.890558, 


Q:RandSingleOps
11650666.418119, 11801554.500759, 8075052.770470, 12387091.659523, 12403562.303093, 11370225.926389, 23491714.472306, 8420074.130333, 26040581.642432, 56073299.016474, 
9939350.085777, 10120176.091082, 5175313.753396, 6166748.273310, 6003557.708298, 6316185.731231, 3732330.680019, 4306300.246450, 5474511.495653, 6462983.584668, 
10219160.107669, 10536613.416376, 5539263.964761, 6432291.130642, 6379656.551190, 6406106.813503, 3938925.386315, 2343353.826744, 4048939.532125, 12079424.632846, 
10173312.552647, 10849537.524890, 5081925.724606, 5069423.858711, 5061646.424510, 5063005.303751, 3648944.200801, 1909537.154916, 2200557.489234, 25278393.482219, 
9478948.519199, 10516911.281263, 4858158.374182, 4628894.858278, 4576888.406993, 4592569.085443, 3476877.576185, 1890872.722550, 1855439.779893, 23349528.825966, 
8691603.964892, 9745024.951528, 4860652.621608, 4441503.922098, 4418058.327427, 4519914.148750, 3506148.008620, 1801403.058800, 1712957.046917, 24605285.092211, 
8341873.326151, 9023532.741979, 4736040.071825, 4305439.181925, 4217292.586695, 4289981.100917, 3581733.987625, 1732035.625271, 1927656.515974, 23116213.527238, 

10154346.060114, 11823685.206205, 7911054.432801, 11549395.620006, 11520312.615203, 10627353.958902, 23491604.100694, 8386953.925430, 26183219.698160, 4788835.307132, 
9955062.846312, 10177100.910036, 5112518.871585, 5786966.130620, 4308294.673569, 6005436.120777, 3838435.637879, 4264948.858998, 5246556.684848, 5880077.005488, 
10059010.686191, 10485559.548806, 5529728.650685, 6391783.425913, 6130176.129155, 6349835.285273, 3980204.849203, 2415631.940790, 4185727.422919, 11256279.596980, 
10137080.961573, 10542192.886813, 5078208.859875, 5065138.311832, 5013099.856563, 5051471.973676, 3621840.713619, 1919428.348172, 2228256.961033, 16716062.631743, 
10004832.167270, 10538960.517716, 4840521.750158, 4560198.149730, 4563033.979545, 4568808.425065, 3527596.712444, 1882504.013969, 1854069.926062, 18090357.718734, 
8811998.328805, 9670059.850419, 4844586.510600, 4402168.651375, 4379844.655670, 4450201.026706, 3557777.664423, 1799090.663106, 1738635.922309, 20763343.562741, 
8392440.593060, 9066213.368077, 4758661.167812, 4466986.645854, 4075032.431146, 4163120.901902, 3629075.660639, 1740990.872768, 1914337.787008, 17390018.998596, 

11767419.310806, 11742023.056636, 9151542.217895, 11900254.427491, 11866281.249852, 10911146.172261, 23443580.678739, 8345949.627186, 26167735.182520, 1974790.612951, 
9898873.112285, 10184937.087637, 5124239.754979, 6760219.085180, 6046804.686999, 5846462.539376, 3776470.699308, 4198792.679153, 5039613.884943, 3452894.406000, 
10147159.175949, 10569946.891299, 5480788.466229, 6283832.232982, 6164783.428076, 6299262.198915, 3972627.799933, 2463752.351498, 4166310.794286, 6973821.668222, 
10319315.746811, 10822838.516752, 5083889.902772, 5048625.713560, 4958794.279089, 5042967.978288, 3626852.709703, 1927833.853109, 2204309.756220, 9396107.474557, 
10063586.773025, 10414173.238733, 4895320.424428, 4540702.631352, 4759798.362249, 4506227.155306, 3594086.290418, 1889086.445351, 1853962.049768, 12655507.181051, 
8857607.644293, 9611940.601571, 4803460.641254, 4408703.574423, 4510343.570911, 4749087.032541, 3479744.753763, 1793874.412198, 1893105.110047, 14444972.689071, 
8470170.346984, 8957448.714351, 4759731.377896, 4208097.448429, 4161356.214301, 4261486.517296, 3590232.800388, 1727175.049243, 1935515.176365, 14454549.620084, 

